,id,product_name,product_type,price,datetime,style_id,color_id,color,Fit,Composition,More sustainable materials,cotton,polyester,spandex,model_size,jeans_size
0,811993040,regular_jeans,men_jeans_regular,29.99,2022-01-27 19:43:16,811993,40,black_washed_out,regular_fit,"Cotton 98%, Spandex 2%",,0.98,0.0,0.02,185cm,31/32
1,811993040,regular_jeans,men_jeans_regular,29.99,2022-01-27 19:43:16,811993,40,graphite_gray,regular_fit,"Cotton 98%, Spandex 2%",,0.98,0.0,0.02,185cm,31/32
2,811993040,regular_jeans,men_jeans_regular,29.99,2022-01-27 19:43:16,811993,40,light_denim_blue,regular_fit,"Cotton 98%, Spandex 2%",,0.98,0.0,0.02,185cm,31/32
3,811993040,regular_jeans,men_jeans_regular,29.99,2022-01-27 19:43:16,811993,40,black,regular_fit,"Cotton 98%, Spandex 2%",,0.98,0.0,0.02,185cm,31/32
4,811993040,regular_jeans,men_jeans_regular,29.99,2022-01-27 19:43:16,811993,40,cream,regular_fit,"Cotton 98%, Spandex 2%",,0.98,0.0,0.02,185cm,31/32
5,811993040,regular_jeans,men_jeans_regular,29.99,2022-01-27 19:43:16,811993,40,light_blue,regular_fit,"Cotton 98%, Spandex 2%",,0.98,0.0,0.02,185cm,31/32
6,811993040,regular_jeans,men_jeans_regular,29.99,2022-01-27 19:43:16,811993,40,denim_blue,regular_fit,"Cotton 98%, Spandex 2%",,0.98,0.0,0.02,185cm,31/32
7,811993040,regular_jeans,men_jeans_regular,29.99,2022-01-27 19:43:16,811993,40,pale_denim_blue,regular_fit,"Cotton 98%, Spandex 2%",,0.98,0.0,0.02,185cm,31/32
8,811993040,regular_jeans,men_jeans_regular,29.99,2022-01-27 19:43:16,811993,40,blue,regular_fit,"Cotton 98%, Spandex 2%",,0.98,0.0,0.02,185cm,31/32
9,811993040,regular_jeans,men_jeans_regular,29.99,2022-01-27 19:43:16,811993,40,dark_blue,regular_fit,"Cotton 98%, Spandex 2%",,0.98,0.0,0.02,185cm,31/32
10,811993040,regular_jeans,men_jeans_regular,29.99,2022-01-27 19:43:16,811993,40,dark_denim_blue,regular_fit,"Cotton 98%, Spandex 2%",,0.98,0.0,0.02,185cm,31/32
11,1013317002,hybrid_regular_tapered_joggers,men_jeans_regular,39.99,2022-01-27 19:43:16,1013317,2,light_denim_blue,regular_fit,"Cotton 79%, Polyester 19%, Spandex 2%",Recycled polyester 19%,0.79,0.19,0.02,188cm,
12,1013317002,hybrid_regular_tapered_joggers,men_jeans_regular,39.99,2022-01-27 19:43:16,1013317,2,denim_blue,regular_fit,"Cotton 79%, Polyester 19%, Spandex 2%",Recycled polyester 19%,0.79,0.19,0.02,188cm,
13,1013317002,hybrid_regular_tapered_joggers,men_jeans_regular,39.99,2022-01-27 19:43:16,1013317,2,dark_gray,regular_fit,"Cotton 79%, Polyester 19%, Spandex 2%",Recycled polyester 19%,0.79,0.19,0.02,188cm,
14,1013317002,hybrid_regular_tapered_joggers,men_jeans_regular,39.99,2022-01-27 19:43:16,1013317,2,dark_blue,regular_fit,"Cotton 79%, Polyester 19%, Spandex 2%",Recycled polyester 19%,0.79,0.19,0.02,188cm,
15,1013317002,hybrid_regular_tapered_joggers,men_jeans_regular,39.99,2022-01-27 19:43:16,1013317,2,black,regular_fit,"Cotton 79%, Polyester 19%, Spandex 2%",Recycled polyester 19%,0.79,0.19,0.02,188cm,
16,1013317006,hybrid_regular_tapered_joggers,men_jeans_regular,39.99,2022-01-27 19:43:16,1013317,6,light_denim_blue,regular_fit,"Cotton 79%, Polyester 19%, Spandex 2%",Recycled polyester 19%,0.79,0.19,0.02,188cm,
17,1013317006,hybrid_regular_tapered_joggers,men_jeans_regular,39.99,2022-01-27 19:43:16,1013317,6,denim_blue,regular_fit,"Cotton 79%, Polyester 19%, Spandex 2%",Recycled polyester 19%,0.79,0.19,0.02,188cm,
18,1013317006,hybrid_regular_tapered_joggers,men_jeans_regular,39.99,2022-01-27 19:43:16,1013317,6,dark_gray,regular_fit,"Cotton 79%, Polyester 19%, Spandex 2%",Recycled polyester 19%,0.79,0.19,0.02,188cm,
19,1013317006,hybrid_regular_tapered_joggers,men_jeans_regular,39.99,2022-01-27 19:43:16,1013317,6,dark_blue,regular_fit,"Cotton 79%, Polyester 19%, Spandex 2%",Recycled polyester 19%,0.79,0.19,0.02,188cm,
20,1013317006,hybrid_regular_tapered_joggers,men_jeans_regular,39.99,2022-01-27 19:43:16,1013317,6,black,regular_fit,"Cotton 79%, Polyester 19%, Spandex 2%",Recycled polyester 19%,0.79,0.19,0.02,188cm,
21,690449043,skinny_jeans,men_jeans_ripped,39.99,2022-01-27 19:43:16,690449,43,denim_blue,skinny_fit,"Cotton 98%, Spandex 2%",,0.98,0.0,0.02,188cm,31/30
22,690449043,skinny_jeans,men_jeans_ripped,39.99,2022-01-27 19:43:16,690449,43,black_washed_out,skinny_fit,"Cotton 98%, Spandex 2%",,0.98,0.0,0.02,188cm,31/30
23,690449043,skinny_jeans,men_jeans_ripped,39.99,2022-01-27 19:43:16,690449,43,white,skinny_fit,"Cotton 98%, Spandex 2%",,0.98,0.0,0.02,188cm,31/30
24,690449043,skinny_jeans,men_jeans_ripped,39.99,2022-01-27 19:43:16,690449,43,black_washed,skinny_fit,"Cotton 98%, Spandex 2%",,0.98,0.0,0.02,188cm,31/30
25,690449043,skinny_jeans,men_jeans_ripped,39.99,2022-01-27 19:43:16,690449,43,dark_denim_blue_trashed,skinny_fit,"Cotton 98%, Spandex 2%",,0.98,0.0,0.02,188cm,31/30
26,690449043,skinny_jeans,men_jeans_ripped,39.99,2022-01-27 19:43:16,690449,43,black_trashed,skinny_fit,"Cotton 98%, Spandex 2%",,0.98,0.0,0.02,188cm,31/30
27,690449043,skinny_jeans,men_jeans_ripped,39.99,2022-01-27 19:43:16,690449,43,dark_blue_trashed,skinny_fit,"Cotton 98%, Spandex 2%",,0.98,0.0,0.02,188cm,31/30
28,690449043,skinny_jeans,men_jeans_ripped,39.99,2022-01-27 19:43:16,690449,43,dark_blue_washed_out,skinny_fit,"Cotton 98%, Spandex 2%",,0.98,0.0,0.02,188cm,31/30
29,690449043,skinny_jeans,men_jeans_ripped,39.99,2022-01-27 19:43:16,690449,43,denim_blue_trashed,skinny_fit,"Cotton 98%, Spandex 2%",,0.98,0.0,0.02,188cm,31/30
30,690449043,skinny_jeans,men_jeans_ripped,39.99,2022-01-27 19:43:16,690449,43,black,skinny_fit,"Cotton 98%, Spandex 2%",,0.98,0.0,0.02,188cm,31/30
31,690449043,skinny_jeans,men_jeans_ripped,39.99,2022-01-27 19:43:16,690449,43,denim_gray,skinny_fit,"Cotton 98%, Spandex 2%",,0.98,0.0,0.02,188cm,31/30
32,690449043,skinny_jeans,men_jeans_ripped,39.99,2022-01-27 19:43:16,690449,43,light_denim_blue_trashed,skinny_fit,"Cotton 98%, Spandex 2%",,0.98,0.0,0.02,188cm,31/30
